1Jy 0133+20 | *3C47, radec J2000, 1:36:24.30, 20:57:33.2, (13 31400 3.65 -0.97)
1Jy 0134+32 | *3C48, radec J2000, 1:37:41.30, 33:09:35.5, (26 14900 3.866 -0.851)
1Jy 0135-247, radec J2000, 1:37:38.40, -24:30:56.7, (408 31400 0.7499 -0.1833)
1Jy 0138-09, radec J2000, 1:41:25.77, -9:28:42.9, (800.0 31400 3.51 -0.63 0 0 -43.59 -1)
1Jy 0146+05, radec J2000, 1:49:22.42, 5:55:52.3, (318 90000 -0.24 0.04 0 0 -0.45 -1)
1Jy 0149+21, radec J2000, 1:52:18.11, 22:07:07.1, (318 31400 -2.13 0.46 0 0 17.66 -1)
1Jy 0153+74, radec J2000, 1:57:34.89, 74:42:43.2, (408 31400 2.73 -0.61 0 0 -12 -1)
1Jy 0157-31, radec J2000, 2:00:12.32, -30:53:20.4, (80 31400 3.21 -0.83)
1Jy 0159-11 | *3C57, radec J2000, 2:01:57.15, -11:32:34.4, (16 31400 2.15 -0.55 0 0 1.47 -1)
1Jy 0201-44, radec J2000, 2:03:40.65, -43:49:52.1, (800.0 5009 2.216 -0.5894)
1Jy 0202+31, radec J2000, 2:05:04.91, 32:12:30.1, (318 31400 -0.2542 0.07572)
1Jy 0202+14, radec J2000, 2:04:50.42, 15:14:10.7, (318 90000 1.613 -0.324)
1Jy 0202-17, radec J2000, 2:04:57.86, -17:01:22.7, (365 31400 0.0849 0.01685)
1Jy 0208-512, radec J2000, 2:10:46.34, -51:01:02.1, (800.0 5000 0.9569 -0.1182)
1Jy 0210+86 | *3C61.1, radec J2000, 2:22:40.03, 86:18:06.1, (38 31400 4.242 -1.101)
1Jy 0212+73, radec J2000, 2:17:30.77, 73:49:32.8, (408 31400 0.1528 0.05688)
1Jy 0213-132 | *3C62, radec J2000, 2:15:36.75, -12:59:29.1, (80 8870 3.41 -0.86)
1Jy 0218+35, radec J2000, 2:21:05.44, 35:56:14.0, (318 90000 0.62 -0.17 0 0 0 1)
1Jy 0220+42 | *3C66.0, radec J2000, 2:23:12.10, 43:00:03.7, (26 14900 3.28 -0.7273)
1Jy 0221+06, radec J2000, 2:24:28.42, 6:59:23.4, (318 90000 0.4651 -0.1532)
1Jy 0223+34, radec J2000, 2:26:10.34, 34:21:30.6, (408 87200 1.71 -0.43)
1Jy 0229+13, radec J2000, 2:31:45.89, 13:22:54.4, (318 90000 0.4459 -0.08745)
1Jy 0234+28, radec J2000, 2:37:52.38, 28:48:09.8, (318 90000 0.2157 0.005433)
1Jy 0235+16, radec J2000, 2:38:38.92, 16:36:59.4, (318 90000 -0.146 0.1068)
1Jy 0235-19, radec J2000, 2:37:43.59, -19:32:31.8, (80 10695 5.35 -1.36 0 0 -8.71 -1)
1Jy 0237-23, radec J2000, 2:40:08.18, -23:09:15.7, (408 31400 1.498 -0.2682)
1Jy 0238-084, radec J2000, 2:41:04.68, -8:15:17.6, (408 31400 -1.052 0.3179)
1Jy 0240-00 | *3C71, radec J2000, 2:42:40.75, -0:00:46.8, (14 31400 3.71 -0.91 0 0 -3.4 -1)
1Jy 0248+43, radec J2000, 2:51:34.54, 43:15:15.9, (408 31400 -3.33 1.19 0 0 -0.02 1)
1Jy 0252-71, radec J2000, 2:52:46.84, -71:04:37.6, (408 8870 3.84 -0.98)
1Jy 0255+05 | *3C75, radec J2000, 2:57:43.49, 6:02:40.7, (12 10695 3.19 -0.76)
1Jy 0256+07, radec J2000, 2:59:27.06, 7:47:39.9, (318 90000 -0.2483 0.06123)
1Jy 0300+16 | *3C76.1, radec J2000, 3:03:14.91, 16:26:12.9, (15 10695 2.61 -0.67)
1Jy 0302-623, radec J2000, 3:03:50.89, -62:11:27.4, (800.0 8870 0.0007615 0.03242)
1Jy 0305+03 | *3C78, radec J2000, 3:08:26.28, 4:06:40.1, (12 22000 2.67 -0.57)
1Jy 0307+16 | *3C79, radec J2000, 3:09:59.73, 17:06:03.6, (10 31400 4.02 -1.04 0 0 -1.69 -1)
1Jy 0308-611, radec J2000, 3:09:56.11, -60:58:39.7, (800.0 5000 -2.688 0.7628)
1Jy 0315+41 | *3C83.1, radec J2000, 3:18:18.90, 41:52:07.2, (26 5000 3.27 -0.75)
1Jy 0316+41 | *3C84.0, radec J2000, 3:19:48.16, 41:30:42.2, (26 90000 -0.3096 0.495)
1Jy 0316+16, radec J2000, 3:18:57.80, 16:28:32.8, (178 31400 7.61 -1.74 0 0 -28.92 -1)
1Jy 0319+12, radec J2000, 3:21:53.10, 12:21:14.3, (318 31400 2.86 -0.7 0 0 -8.67 -1)
1Jy 0320-37, radec J2000, 3:22:36.48, -37:14:21.1, (408 5000 3.486 -0.4651)
1Jy 0325+02 | *3C88, radec J2000, 3:27:54.91, 2:33:43.8, (12 31400 2.83 -0.68)
1Jy 0332+07, radec J2000, 3:34:53.36, 8:00:13.1, (318 31400 -1.645 0.4263)
1Jy 0332-403, radec J2000, 3:34:13.64, -40:08:24.7, (800.0 89600 8.06 -1.64 0 0 -66.37 -1)
1Jy 0336-01, radec J2000, 3:39:30.94, -1:46:35.8, (318 90000 -0.1126 0.1484)
1Jy 0347+05, radec J2000, 3:49:47.51, 5:51:15.8, (16 31400 2.66 -0.69)
1Jy 0349-27, radec J2000, 3:51:35.86, -27:44:33.4, (80 5009 3.022 -0.7242)
1Jy 0356+10 | *3C98, radec J2000, 3:58:54.66, 10:26:04.4, (13 10695 3.34 -0.72)
1Jy 0400+25, radec J2000, 4:03:05.61, 26:00:02.3, (318 90000 3.57 -0.79 0 0 -19.37 -1)
1Jy 0400-319, radec J2000, 4:02:21.55, -31:47:45.0, (800.0 31400 0.4609 -0.1177)
1Jy 0402+37, radec J2000, 4:05:49.35, 38:03:34.1, (365 31400 1.53 -0.4)
1Jy 0402-362, radec J2000, 4:03:53.74, -36:05:01.8, (800.0 31400 -1.55 0.4567)
1Jy 0403+76, radec J2000, 4:10:45.05, 76:56:46.8, (408 31400 3.45 -0.76 0 0 -7.93 -1)
